plain_form,reading,meaning_vi,display_order
する,,làm/thực hiện,1
言う,,nói,2
行く,,đi,3
来る,,đến,4
知っている,,biết,5
食べる,,ăn,6
いる,,có/ở,7
見る,,xem/nhìn,8
見せる,,cho xem,9
聞く,,nghe/hỏi,10
聞かせる,,cho nghe,11
読む,,đọc,12
座る,,ngồi,13
会う,,gặp,14
伝える,,truyền đạt,15
訪ねる,,thăm/ghé thăm,16
わかる,,hiểu/biết,17
受け取る,,nhận,18
利用する,,sử dụng,19
思う,,nghĩ/cho rằng,20
買う,,mua,21
考える,,suy nghĩ,22
待つ,,chờ/đợi,23
帰る,,về/trở về,24
与える,,cho/trao,25
もらう,,nhận/được cho,26
気に入る,,thích/vừa ý,27
風邪を引く,,bị cảm,28
風呂にはいる,,tắm/vào bồn,29
年をとる,,có tuổi/già đi,30
着る,,mặc,31
確認する,,xác nhận,32
借りる,,mượn/vay,33
承諾する,,đồng ý/chấp thuận,34
くれる,,cho (mình),35
飲む,,uống,36
出かける,,đi ra ngoài,37
出席する,,tham dự,38
始める,,bắt đầu,39
寝る,,ngủ,40
たずねる,,hỏi/thăm,41
あげる,,cho/tặng,42
届ける,,giao/gửi đến,43
誘う,,rủ/mời,44
案内する,,hướng dẫn,45
説明する,,giải thích,46
推察する,,suy đoán,47
