verb__plain_form,verb__reading,style_code,form,reading,is_irregular,note_vi,display_order
する,,sonkei,なさる,,true,,1
する,,sonkei,される,,false,,2
する,,kenjo2,いたす,,true,（自分が一方的に行う行為の場合）,3
する,,kenjo,させていただく,,false,（相手からの許可や好意により恩恵を受ける行為の場合）,4
言う,,sonkei,おっしゃる,,true,,5
言う,,sonkei,言われる,,false,,6
言う,,kenjo1,申し上げる,,true,,7
言う,,kenjo2,申す,,true,,8
行く,,sonkei,行かれる,,false,,9
行く,,sonkei,いらっしゃる,,true,,10
行く,,sonkei,おいでになる,,true,,11
行く,,sonkei,お越しになる,,false,,12
行く,,kenjo1,うかがう,,true,,13
行く,,kenjo2,参る,,true,,14
来る,,sonkei,いらっしゃる,,true,,15
来る,,sonkei,おいでになる,,true,,16
来る,,sonkei,見える,,true,,17
来る,,sonkei,お越しになる,,false,,18
来る,,kenjo2,参る,,true,,19
来る,,kenjo,伺う,,false,,20
知っている,,sonkei,ご存じです,,false,,21
知っている,,kenjo2,存じる,,true,,22
知っている,,kenjo1,存じ上げる,,true,,23
知っている,,kenjo,承知する,,false,,24
食べる,,sonkei,召し上がる,,true,,25
食べる,,kenjo,いただく,,false,,26
食べる,,kenjo,頂戴する,,false,,27
いる,,sonkei,いらっしゃる,,true,,28
いる,,sonkei,おいでになる,,true,,29
いる,,kenjo2,おる,,true,,30
見る,,sonkei,ご覧になる,,true,,31
見る,,kenjo1,拝見する,,true,,32
見る,,kenjo,見せていただく,,false,,33
見せる,,sonkei,お見せになる,,false,,34
見せる,,sonkei,お示しになる,,false,,35
見せる,,kenjo,お見せする,,false,,36
見せる,,kenjo1,ご覧に入れる,,true,,37
見せる,,kenjo1,お目にかける,,true,,38
聞く,,sonkei,お聞きになる,,false,,39
聞く,,kenjo,拝聴する,,true,,40
聞く,,kenjo1,うかがう,,true,,41
聞かせる,,sonkei,お聞かせになる,,false,,42
聞かせる,,kenjo,お耳に入れる,,false,,43
読む,,sonkei,お読みになる,,true,,44
読む,,kenjo,拝読する,,true,,45
座る,,sonkei,お掛けになる,,false,,46
座る,,kenjo,お座りする,,false,,47
座る,,kenjo,座らせていただく,,false,,48
会う,,sonkei,お会いになる,,false,,49
会う,,sonkei,会われる,,false,,50
会う,,kenjo1,お目にかかる,,true,,51
伝える,,sonkei,お伝えになる,,false,,52
伝える,,kenjo,申し伝える,,false,（言い伝えるの謙譲語でもある）,53
訪ねる,,sonkei,お訪ねになる,,false,,54
訪ねる,,sonkei,訪ねられる,,false,,55
訪ねる,,kenjo,お訪ねする,,false,,56
訪ねる,,kenjo,伺う,,false,,57
訪ねる,,kenjo,お伺いする,,false,,58
訪ねる,,kenjo,参上する,,false,,59
訪ねる,,kenjo,参る,,false,,60
訪ねる,,kenjo,上がる,,false,,61
訪ねる,,kenjo,お邪魔する,,false,,62
わかる,,sonkei,おわかりになる,,false,,63
わかる,,kenjo,かしこまる,,false,,64
わかる,,kenjo,承知する,,false,,65
受け取る,,sonkei,お受け取りになる,,false,,66
受け取る,,kenjo,頂戴する,,false,,67
受け取る,,kenjo,拝受する,,false,,68
