lesson__slug,pair_type,group_label,casual,polite,note_vi,display_order
mot-so-quy-tac-chia-dong-tu-co-quy-tac,wrong,,佐藤さんはおられますか？,佐藤さんはいらっしゃいますか？,,1
mot-so-quy-tac-chia-dong-tu-co-quy-tac,wrong,,鈴木様でございますか？,鈴木様でいらっしゃいますか？,,2
mot-so-quy-tac-chia-dong-tu-co-quy-tac,wrong,,ご確認してください。,ご確認ください。,,3
mot-so-quy-tac-chia-dong-tu-co-quy-tac,wrong,,ただいま田中部長がおっしゃったように…,ただいま部長の田中が申したように…,（社外の人に対して）,4
mot-so-quy-tac-chia-dong-tu-co-quy-tac,wrong,,資料は拝見されましたでしょうか。,資料はご覧いただけますしたでしょうか。,,5
mot-so-quy-tac-chia-dong-tu-co-quy-tac,wrong,,おっしゃられました,おっしゃいました,,6
mot-so-quy-tac-chia-dong-tu-co-quy-tac,noun_biz,,今日,本日,,1
mot-so-quy-tac-chia-dong-tu-co-quy-tac,noun_biz,,昨日「きのう」,昨日「さくじつ」,,2
mot-so-quy-tac-chia-dong-tu-co-quy-tac,noun_biz,,明日「あした」,明日「あす、みょうにち」,,3
mot-so-quy-tac-chia-dong-tu-co-quy-tac,noun_biz,,一昨日「おととい」,一昨日「いっさくじつ」,,4
mot-so-quy-tac-chia-dong-tu-co-quy-tac,noun_biz,,明後日「あさって」,明後日「みょうごにち」,,5
mot-so-quy-tac-chia-dong-tu-co-quy-tac,noun_biz,,今度,このたび,,6
mot-so-quy-tac-chia-dong-tu-co-quy-tac,noun_biz,,さっき,さっきほど,,7
mot-so-quy-tac-chia-dong-tu-co-quy-tac,noun_biz,,前に,以前,,8
mot-so-quy-tac-chia-dong-tu-co-quy-tac,noun_biz,,後で,後ほど「のちほど」,,9
mot-so-quy-tac-chia-dong-tu-co-quy-tac,noun_biz,,もうすぐ,まもなく,,10
tham-khao,double,お読みになられる＝「お読みになる」＋「れる・られる」,資料をお読みになられましたか。,資料をお読みになりましたか。,,1
tham-khao,double,お読みになられる＝「お読みになる」＋「れる・られる」,資料をお読みになられましたか。,資料を読まれましたか。,,2
tham-khao,double,ご案内してさしあげる＝「ご案内する」＋「さしあげる」,ご案内してさしあげましょうか。,ご案内いたしましょうか。,,3
tham-khao,double,させていただきます。,お話をうかがい、感動させていただきました。,お話をうかがい、感動いたしました。,,4
tham-khao,baito,,ご注文のほうは、以上でよろしかったでしょうか。,ご注文は、以上でよろしかったでしょうか。,,1
tham-khao,baito,,こちらコーヒーになります。,こちらコーヒーでございます。／をおもちいたしました。,,2
tham-khao,baito,,1.000円からお預かりします。,1.000円、お預かりいたします。,,3
tham-khao,baito,,わたし的には賛成です。,私は賛成です。,,4
tham-khao,baito,,映画とかご覧になりますか。,映画をご覧になりますか。,,5
tham-khao,cushion,,,失礼ですが、お名前をお聞かせいただけますか。,,1
tham-khao,cushion,,,まことに申し訳ございませんが、お約束のない方のお取り次ぎはいたしかねます。,,2
tham-khao,cushion,ご要望・ご質問・ご提案をする場合,,お忙しいところ、恐れ入りますが...,,3
tham-khao,cushion,ご要望・ご質問・ご提案をする場合,,お手数をおかけしますが...,,4
tham-khao,cushion,ご要望・ご質問・ご提案をする場合,,ご面倒をおかけしますが...,,5
tham-khao,cushion,ご要望・ご質問・ご提案をする場合,,失礼ですが...,,6
tham-khao,cushion,ご要望・ご質問・ご提案をする場合,,さしつかえなければ...,,7
tham-khao,cushion,ご要望・ご質問・ご提案をする場合,,よろしければ...,,8
tham-khao,cushion,ご要望・ご質問・ご提案をする場合,,つかぬことをおうかがいしますが...,,9
tham-khao,cushion,言いにくいとき／謝るとき／断るとき,,まことに申し訳ありませんが...,,10
tham-khao,cushion,言いにくいとき／謝るとき／断るとき,,まことに恐縮でございますが...,,11
tham-khao,cushion,言いにくいとき／謝るとき／断るとき,,ご迷惑かとは存じますが...,,12
tham-khao,cushion,言いにくいとき／謝るとき／断るとき,,ご不便をおかけしますが...,,13
tham-khao,cushion,言いにくいとき／謝るとき／断るとき,,せっかくではございますが...,,14
tham-khao,cushion,言いにくいとき／謝るとき／断るとき,,あいにくでございますが...,,15
tham-khao,cushion,言いにくいとき／謝るとき／断るとき,,残念ではございますが...,,16
tham-khao,cushion,言いにくいとき／謝るとき／断るとき,,わたくしの思い違いかもしれませんが...,,17
tham-khao,cushion,言いにくいとき／謝るとき／断るとき,,○○時に約束していたのですが...,,18
tham-khao,cushion,言いにくいとき／謝るとき／断るとき,,まことに申しわけありませんが...ただいま...,,19
tham-khao,cushion,「恐れ入りますが...」そして「さしつかえなければ...」,,恐れ入りますが、至急ご調査いただけませんでしょうか。,,20
tham-khao,cushion,「恐れ入りますが...」そして「さしつかえなければ...」,,さしつかえなければ、ご用件をお聞かせ願えますでしょうか。,,21
tham-khao,daily,,どうですか。,いかがですか。,,1
tham-khao,daily,,いいですか。,よろしいですか。,,2
tham-khao,daily,,誰ですか。,どなたですか。,,3
tham-khao,daily,,どんなご用件ですか。,どのようなご用件ですか。,,4
tham-khao,daily,,いくらぐらいですか。,いかほどですか。,,5
tham-khao,daily,,いま,ただいま,,6
tham-khao,daily,,さっき／このあいだ、この前,先ほど／先日、以前,,7
tham-khao,daily,,あとで,のちほど、後日,,8
tham-khao,daily,,すぐに,さっそく、間もなく、早急に,,9
tham-khao,daily,,少し、ちょっと,少々,,10
tham-khao,daily,,とても／すごく,たいへん／非常に,,11
tham-khao,daily,,やっぱり,やはり,,12
tham-khao,daily,,じゃあ,では、それでは,,13
tham-khao,daily,,こっち／そっち／あっち／どっち,こちら／そちら／あちら／どちら,,14
tham-khao,daily,,昨日／一昨日,さくじつ／いっさくじつ,,15
tham-khao,daily,,今日,本日,,16
tham-khao,daily,,明日／明後日,みょうにち／みょうごにち,,17
tham-khao,daily,,去年／一昨年,昨年／一昨年,,18
the-lich-su,adj_gozai,,安い,安うございます,,1
the-lich-su,adj_gozai,,寒い,寒うございます,,2
the-lich-su,adj_gozai,,細い,細うございます,,3
the-lich-su,adj_gozai,,青い,青うございます,,4
the-lich-su,adj_gozai,,早い,早うございます,,5
the-lich-su,adj_gozai,,高い,高うございます,,6
the-lich-su,adj_gozai,,ありがたい,ありがとうございます,,7
the-lich-su,adj_gozai,,めでたい,めでとうございます,,8
the-lich-su,adj_gozai,,嬉しい,嬉しゅうございます,,9
the-lich-su,adj_gozai,,涼しい,涼しゅうございます,,10
the-lich-su,adj_gozai,,大きい,大きゅうございます,,11
mot-so-quy-tac-chia-dong-tu-co-quy-tac,teinei,,,後ろに「です」「ます」を付ける,,1
mot-so-quy-tac-chia-dong-tu-co-quy-tac,teinei,,です,でございます,,2
mot-so-quy-tac-chia-dong-tu-co-quy-tac,teinei,,ではありません,でございません,,3
mot-so-quy-tac-chia-dong-tu-co-quy-tac,teinei,,あります,ございます,,4
mot-so-quy-tac-chia-dong-tu-co-quy-tac,teinei,,ありません,ございません,,5
mot-so-quy-tac-chia-dong-tu-co-quy-tac,teinei,,ここ、そこ、あそこ,こちら、そちら、あちら,,6
mot-so-quy-tac-chia-dong-tu-co-quy-tac,teinei,,私（わたし）,私（わたくし）,,7
mot-so-quy-tac-chia-dong-tu-co-quy-tac,teinei,,ごめんなさい,申し訳ありません/申し訳ございません,,8
mot-so-quy-tac-chia-dong-tu-co-quy-tac,teinei,,いいですか,～よろしいでしょうか,,9
mot-so-quy-tac-chia-dong-tu-co-quy-tac,teinei,,,前に「お」「ご」などを付ける,,10
mot-so-quy-tac-chia-dong-tu-co-quy-tac,teinei,,食事,お食事,,11
mot-so-quy-tac-chia-dong-tu-co-quy-tac,teinei,,説明,ご説明,,12
