exercise_set__slug,number,instruction_jp,passage_jp,display_order
luyen-tap,1,問題 1：正しいものを選んでください,,1
luyen-tap,2,問題 2：適切な方を選んでください,,2
luyen-tap,3,問題3,"B「部長、私の父（1）。父さん、こちらがいつもお世話になっている部長のAさんです。」
Bの父「はじめまして。息子が大変お世話になって（2）。」
A「お父さんでいらっしゃいますか。はじめまして。いやぁ、息子さんは頑張ってますよ。」",3
luyen-tap,4,問題3,"D「部長、先ほど○○会社のBさんよりお電話がありました。先日の展示会でうちの新製品を（3）興味をもたれたようで、ぜひ詳しい資料がほしいと（4）。」
C「ああ、そう。じゃ、私が先方に直接お電話を（5）。
【○○会社に電話をかけて話している】
C「だいたいのことは今お話しいたしましたが、資料がお手元に届きましたら、よくご検討なさってください。」
B「早速お電話いただきまして、ありがとうございます。ではよく検討（6）後日、部長のAよりご連絡（7）。」",4
luyen-tap,5,問題3,"A「失礼いたします。私、○○会社のAと申します。3時にC部長とお会いする約束になっているのですが…」
会社の受付「A様でいらっしゃいますね。部長のCより（8）。ただ今お取り次ぎいたしますので、こちらにおかけになってお待ちくださいませ。」
…
会社の受付「部長、A様が（9）。」
C「あ、そう。じゃ、応接室の方へ（10）すぐ行くから。」",5
bai-tap-1,1,問題 次の（ ）に入れるのに最もよいものを1・2・3・4から一つ選びなさい。,,1
bai-tap-2,1,問題 次の（ ）に入れるのに最もよいものを1・2・3・4から一つ選びなさい。,,1
bai-tap-3,1,問題 次の__★__に入れるのに最もよいものを1・2・3・4から一つ選びなさい。,,1
bai-tap-4,1,問題 次の文に入れるのに最もよいものを1・2・3・4から一つ選びなさい。,,1
bai-tap-5,1,問題 次の__★__に入る最もよいものを、1・2・3・4から一つ選びなさい。,,1
bai-tap-6,1,問題1 次の（ ）に入れるのに最もよいものを1・2・3・4から一つ選びなさい。,,1
bai-tap-7,1,問題 次の文に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。,,1
bai-tap-8,1,問題 次の文に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。,,1
bai-tap-9,1,問題 次の（ ）に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。,,1
bai-tap-10,1,問題 次の文に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。,,1
bai-tap-11,1,問題1 次の（ ）に入れるのに最もよいものを1・2・3・4から一つ選びなさい。,,1
bai-tap-12,1,問題1 次の（ ）に入れるのに最もよいものを1・2・3・4から一つ選びなさい。,,1
bai-tap-12,2,問題2 次の文章を読んで、（11）から（15）の中に入る最もよいものを、1・2・3・4から一つ選びなさい。,"恩師のお宅へ年始に（11）の帰り、電車に乗ると、ちょうど1人分の席が空いていたので、急いでいって座った。
車内を見回すと、私のあとから乗ったおばあさんが、重そうな荷物をさげて立っている。もう80歳をこしているらしい。おばあさんは真っ白な髪を後ろに結んでいる。（12）腰が少し曲がっているので、つり皮につかまることができず、手すりにつかまっている。電車がゆれたはずみによろけて、隣の人の足を踏んでしまって、丁寧に何回もあやまっている。",2
bai-tap-12,3,問題2 次の文章を読んで、（11）から（15）の中に入る最もよいものを、1・2・3・4から一つ選びなさい。,"こんにちは。
先生、お変わりなくお過ごしでしょうか。私もようやく中学入試が終わり、ひと安心しているところです。
さて、小学校生活もあとは卒業式を残すだけとなりましたが、6年1組では卒業式の前日に演奏会を催したいと考えて、これまで練習をしてきました。難しい曲ですが、なんとかみんなで力を合わせてしっかり演奏できるようになりました。これも先生が私たちに楽器を演奏する楽しさを（13）からだと思っています。
ついては、先生に私たちの演奏をぜひ（14）と思い、お招きすることになりました。これはクラス全員の願いでもあります。
そのときには先生が得意にしているオーボエの演奏も聞かせてください。みんなも久しぶりに先生にお会いできるのを楽しみにしています。
それでは、寒い日が続きますが、お元気で（15）。
さようなら
6年1組一同
3月1日
田中よし子先生",3
bai-tap-13,1,問題 次の（ ）に入れるのに最もよいものを1・2・3・4から一つ選びなさい。,,1
bai-tap-14,1,問題 次の（ ）に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。,,1
bai-tap-15,1,問題 次の（ ）に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。,,1
bai-tap-16,1,問題 次の（ ）に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。,,1
